Institution Name,City,State,Size: Annual Unduplicated Headcount,Percent Part-Time,Percent Non-Traditional Age (25 and Older),Percent Minority,Percent of First-Time Undergrads who are Full-Time,First-Year Retention Rate,Three-Year Graduation Rate,Credentials Awarded per 100 FTE Students,"Percent of Undergrads Receiving Pell, 2011-12","latitude,longitude"
Ilisagvik College,Barrow,AK,620,76.6,67.7,72.3,59.1,40.7,38.7,23.5,17.7,"71.324956,-156.680492"
Prince William Sound Community College,Valdez,AK,2505,89.3,52.7,15.3,63,36,54.1,11.1,17.5,"61.134226,-146.354815"
Alabama Southern Community College,Monroeville,AL,1972,34.8,30.5,50.5,89.6,22,23.4,28.7,67.4,"31.488515,-87.32708"
Bevill State Community College,Jasper,AL,5827,44.5,36.4,18,81.4,57.2,41.7,26.5,64.4,"33.836934,-87.266172"
Bishop State Community College,Mobile,AL,6109,51,39.8,62.2,77.9,42.9,25.4,19.6,61,"30.695979,-88.055613"
Central Alabama Community College,Alexander City,AL,3239,39,37.1,31.5,83.5,50.8,58,26.4,63.8,"32.924285,-85.945601"
Chattahoochee Valley Community College,Phenix City,AL,2500,44.4,38.3,46.8,77,45.8,23.1,27.1,60.6,"32.42327,-85.030491"
Enterprise State Community College,Enterprise,AL,3731,37.9,39.8,25.8,85.9,57,60.4,26.8,52.3,"31.299293,-85.834902"
Gadsden State Community College,Gadsden,AL,9482,41.7,39.5,25.2,81.6,52.9,39.1,23.9,62.4,"33.99518,-85.990168"
George C Wallace State Community College-Dothan,Dothan,AL,6873,47.2,42.6,34.6,80.1,55.9,45.9,28.1,60.4,"31.223231,-85.390489"
George C Wallace State Community College-Hanceville,Hanceville,AL,7905,43.3,37.2,7.9,85.6,58.1,54.9,32.5,51.4,"34.060655,-86.767498"
George C Wallace State Community College-Selma,Selma,AL,3206,36.5,36.9,69.7,84.9,47.6,44.3,34.9,75.6,"32.438201,-87.014497"
H Councill Trenholm State Technical College,Montgomery,AL,2478,43,46.8,63.8,66.5,52.9,48.9,26.6,65.1,"32.366805,-86.299969"
J F Drake State Technical College,Huntsville,AL,2163,50,56.3,61,66.7,42.7,35.4,26.1,71,"34.771951,-86.573825"
James H Faulkner State Community College,Bay Minette,AL,6762,43.8,31.6,23.7,78.9,53.1,51.3,21.4,53,"30.882963,-87.773047"
Jefferson Davis Community College,Brewton,AL,1784,49.2,46.3,36,75.3,44.9,48.1,32.2,57.5,"31.102184,-87.086582"
Jefferson State Community College,Birmingham,AL,14398,62.8,39.9,24.3,68.3,49.7,39.1,25.3,36.5,"33.656405,-86.707746"
John C Calhoun State Community College,Tanner,AL,17612,59,39,25.6,66,61.4,48.5,21.9,43.2,"34.731479,-86.970563"
Lawson State Community College-Birmingham Campus,Birmingham,AL,6042,38.7,40.9,77.9,82.9,54.6,52.8,18,74.2,"33.520661,-86.80249"
Lurleen B Wallace Community College,Andalusia,AL,2535,40.9,30.6,24.4,86.5,51,25.8,33.8,59.2,"31.308504,-86.483291"
Northeast Alabama Community College,Rainsville,AL,4419,45.2,38.9,9.1,82.8,59.9,59.4,34.1,63.7,"34.494254,-85.847749"
Northwest Shoals Community College-Muscle Shoals,Muscle Shoals,AL,5501,47.2,30.2,14.8,84.7,49.4,33.1,24,54.1,"34.739757,-87.679383"
Reid State Technical College,Evergreen,AL,968,29.8,48,58.5,95.7,64.1,37.4,33.7,73.1,"31.461667,-86.964444"
Shelton State Community College,Tuscaloosa,AL,8146,44.4,23.9,36.3,75.2,53,44.1,16.6,52.4,"33.120633,-87.561464"
Snead State Community College,Boaz,AL,3221,40.9,29.3,7,84.7,62.8,51.2,35.8,57.6,"34.201317,-86.169454"
Southern Union State Community College,Wadley,AL,7451,38.4,25.6,24.4,85.9,53.4,46.2,27.1,44.3,"33.128418,-85.572788"
Arkansas Northeastern College,Blytheville,AR,2819,57,43.8,34.4,68.1,50,42,37.4,51,"35.898379,-89.921493"
Arkansas State University-Beebe,Beebe,AR,7048,47.9,32.9,9.9,91.2,59.8,44.3,41.7,31.5,"35.070213,-91.894499"
Arkansas State University-Mountain Home,Mountain Home,AR,2135,37.7,44.8,2,76.5,44.8,53.4,42.5,60.7,"36.322371,-92.388244"
Arkansas State University-Newport,Newport,AR,5896,58.5,32.4,23.3,69.8,47.3,60.4,21.6,29.7,"35.640059,-91.265439"
Black River Technical College,Pocahontas,AR,3199,32.9,46.5,4.7,89.9,58.8,38,29.8,68.3,"36.241684,-90.952204"
College of the Ouachitas,Malvern,AR,1863,57.9,34.1,16.1,90.2,51.2,50.1,46.1,38.2,"34.378207,-92.822273"
Cossatot Community College of the University of Arkansas,De Queen,AR,2178,55.6,35.7,26.3,80.5,52.7,20.8,29,40.7,"34.04391,-94.367894"
East Arkansas Community College,Forrest City,AR,2125,49.1,45.9,44.4,84.9,44.3,32.4,42.5,50.2,"35.041629,-90.767755"
Mid-South Community College,West Memphis,AR,3169,62.9,37,56.1,72.4,43.5,32.4,17.4,53.6,"35.14648,-90.184539"
National Park Community College,Hot Springs,AR,5297,50.9,45.5,18.1,74.4,56.6,29.2,35.1,68.9,"34.5037,-93.05518"
North Arkansas College,Harrison,AR,3090,37.8,41.1,5.2,86.1,52,43.2,36.1,62.2,"36.221314,-93.089558"
NorthWest Arkansas Community College,Bentonville,AR,12273,62.4,39.7,16,59.3,52.6,34.6,25.8,40.9,"36.362431,-94.173134"
Ozarka College,Melbourne,AR,2248,35,54.5,3.2,87.9,41.9,51.2,35.8,74,"36.054376,-91.896974"
Phillips Community College of the University of Arkansas,Helena,AR,3210,61.7,25.2,47.3,84.7,51.6,47.7,31.5,37.1,"34.545536,-90.616916"
Pulaski Technical College,North Little Rock,AR,16486,49.2,57.6,55.2,70.1,56.6,26.1,41.8,66.1,"34.782275,-92.299206"
Rich Mountain Community College,Mena,AR,1469,57.9,40.9,7.6,81.3,45.3,29.2,34.6,43.5,"34.59112,-94.220197"
South Arkansas Community College,El Dorado,AR,2597,51.3,44,42.2,77.8,44.7,17.3,32.4,55.2,"33.209476,-92.666246"
Southeast Arkansas College,Pine Bluff,AR,2955,48.1,56.9,58,57.1,40.1,22,35.1,57.4,"34.209914,-92.026789"
